Time,Center,Metric,Value
100.0,TraceDetection,TimeTotal,0.0
100.0,TraceDetection,NumTotal,0.0
100.0,TraceDetection,SystemResponseTime_Success,0.0
100.0,TraceDetection,BusyServers,0.0
100.0,TraceDetection,TimeQueue,0.0
100.0,TraceDetection,TimeService,0.0
100.0,TraceDetection,NumQueue,0.0
100.0,XRay,TimeTotal,45.64417368284561
100.0,XRay,NumTotal,7.0
100.0,XRay,SystemResponseTime_Success,0.0
100.0,XRay,BusyServers,6.0
100.0,XRay,TimeQueue,7.583601141750446
100.0,XRay,TimeService,45.64417368284561
100.0,XRay,NumQueue,1.0
100.0,CheckIn,TimeTotal,65.27637626232888
100.0,CheckIn,NumTotal,3.0
100.0,CheckIn,SystemResponseTime_Success,0.0
100.0,CheckIn,BusyServers,3.0
100.0,CheckIn,TimeQueue,0.0
100.0,CheckIn,TimeService,65.27637626232888
100.0,CheckIn,NumQueue,0.0
100.0,Recupero,TimeTotal,0.0
100.0,Recupero,NumTotal,3.0
100.0,Recupero,SystemResponseTime_Success,0.0
100.0,Recupero,BusyServers,3.0
100.0,Recupero,TimeQueue,0.0
100.0,Recupero,TimeService,0.0
100.0,Recupero,NumQueue,0.0
100.0,Varchi,TimeTotal,16.585869450026866
100.0,Varchi,NumTotal,3.0
100.0,Varchi,SystemResponseTime_Success,0.0
100.0,Varchi,BusyServers,3.0
100.0,Varchi,TimeQueue,0.24665412987190813
100.0,Varchi,TimeService,16.26521908119339
100.0,Varchi,NumQueue,0.0
200.0,XRay,TimeTotal,61.029721946495094
200.0,XRay,NumTotal,3.0
200.0,XRay,SystemResponseTime_Success,161.6534751280991
200.0,XRay,BusyServers,3.0
200.0,XRay,TimeQueue,6.372291842315775
200.0,XRay,TimeService,53.29193899511164
200.0,XRay,NumQueue,0.0
200.0,TraceDetection,TimeTotal,0.0
200.0,TraceDetection,NumTotal,0.0
200.0,TraceDetection,SystemResponseTime_Success,161.6534751280991
200.0,TraceDetection,BusyServers,0.0
200.0,TraceDetection,TimeQueue,0.0
200.0,TraceDetection,TimeService,0.0
200.0,TraceDetection,NumQueue,0.0
200.0,Recupero,TimeTotal,96.07716210470494
200.0,Recupero,NumTotal,12.0
200.0,Recupero,SystemResponseTime_Success,161.6534751280991
200.0,Recupero,BusyServers,12.0
200.0,Recupero,TimeQueue,0.0
200.0,Recupero,TimeService,96.07716210470494
200.0,Recupero,NumQueue,0.0
200.0,Varchi,TimeTotal,17.81455416251948
200.0,Varchi,NumTotal,5.0
200.0,Varchi,SystemResponseTime_Success,161.6534751280991
200.0,Varchi,BusyServers,4.0
200.0,Varchi,TimeQueue,0.15269065182546693
200.0,Varchi,TimeService,17.625936298499788
200.0,Varchi,NumQueue,1.0
200.0,CheckIn,TimeTotal,87.80987065952509
200.0,CheckIn,NumTotal,3.0
200.0,CheckIn,SystemResponseTime_Success,161.6534751280991
200.0,CheckIn,BusyServers,3.0
200.0,CheckIn,TimeQueue,0.0
200.0,CheckIn,TimeService,87.80987065952509
200.0,CheckIn,NumQueue,0.0
300.0,Recupero,TimeTotal,123.27459719734932
300.0,Recupero,NumTotal,14.0
300.0,Recupero,SystemResponseTime_Success,197.79869157249794
300.0,Recupero,BusyServers,14.0
300.0,Recupero,TimeQueue,0.0
300.0,Recupero,TimeService,123.27459719734932
300.0,Recupero,NumQueue,0.0
300.0,CheckIn,TimeTotal,97.80062560215694
300.0,CheckIn,NumTotal,6.0
300.0,CheckIn,SystemResponseTime_Success,197.79869157249794
300.0,CheckIn,BusyServers,6.0
300.0,CheckIn,TimeQueue,1.1257737897690276
300.0,CheckIn,TimeService,97.80062560215694
300.0,CheckIn,NumQueue,0.0
300.0,Varchi,TimeTotal,19.74226509952304
300.0,Varchi,NumTotal,3.0
300.0,Varchi,SystemResponseTime_Success,197.79869157249794
300.0,Varchi,BusyServers,3.0
300.0,Varchi,TimeQueue,1.204055231213889
300.0,Varchi,TimeService,18.425329690382846
300.0,Varchi,NumQueue,0.0
300.0,XRay,TimeTotal,55.71787493405603
300.0,XRay,NumTotal,8.0
300.0,XRay,SystemResponseTime_Success,197.79869157249794
300.0,XRay,BusyServers,6.0
300.0,XRay,TimeQueue,7.625357984966304
300.0,XRay,TimeService,51.081032865096
300.0,XRay,NumQueue,2.0
300.0,TraceDetection,TimeTotal,0.0
300.0,TraceDetection,NumTotal,0.0
300.0,TraceDetection,SystemResponseTime_Success,197.79869157249794
300.0,TraceDetection,BusyServers,0.0
300.0,TraceDetection,TimeQueue,0.0
300.0,TraceDetection,TimeService,0.0
300.0,TraceDetection,NumQueue,0.0
400.0,Varchi,TimeTotal,20.63724574864868
400.0,Varchi,NumTotal,1.0
400.0,Varchi,SystemResponseTime_Success,216.72855858319167
400.0,Varchi,BusyServers,1.0
400.0,Varchi,TimeQueue,1.284301828562615
400.0,Varchi,TimeService,19.32236530512029
400.0,Varchi,NumQueue,0.0
400.0,XRay,TimeTotal,61.072992915428635
400.0,XRay,NumTotal,5.0
400.0,XRay,SystemResponseTime_Success,216.72855858319167
400.0,XRay,BusyServers,5.0
400.0,XRay,TimeQueue,12.809546218459673
400.0,XRay,TimeService,50.80279074309603
400.0,XRay,NumQueue,0.0
400.0,TraceDetection,TimeTotal,0.0
400.0,TraceDetection,NumTotal,1.0
400.0,TraceDetection,SystemResponseTime_Success,216.72855858319167
400.0,TraceDetection,BusyServers,1.0
400.0,TraceDetection,TimeQueue,0.0
400.0,TraceDetection,TimeService,0.0
400.0,TraceDetection,NumQueue,0.0
400.0,Recupero,TimeTotal,121.61638339944136
400.0,Recupero,NumTotal,13.0
400.0,Recupero,SystemResponseTime_Success,216.72855858319167
400.0,Recupero,BusyServers,13.0
400.0,Recupero,TimeQueue,0.0
400.0,Recupero,TimeService,121.61638339944136
400.0,Recupero,NumQueue,0.0
