Time,Center,Metric,Value
100.0,TraceDetection,TimeTotal,0.0
100.0,TraceDetection,NumTotal,0.0
100.0,TraceDetection,SystemResponseTime_Success,0.0
100.0,TraceDetection,BusyServers,0.0
100.0,TraceDetection,TimeQueue,0.0
100.0,TraceDetection,TimeService,0.0
100.0,TraceDetection,NumQueue,0.0
100.0,XRay,TimeTotal,44.23438277982675
100.0,XRay,NumTotal,3.0
100.0,XRay,SystemResponseTime_Success,0.0
100.0,XRay,BusyServers,3.0
100.0,XRay,TimeQueue,0.0
100.0,XRay,TimeService,44.23438277982675
100.0,XRay,NumQueue,0.0
100.0,CheckIn,TimeTotal,0.0
100.0,CheckIn,NumTotal,4.0
100.0,CheckIn,SystemResponseTime_Success,0.0
100.0,CheckIn,BusyServers,4.0
100.0,CheckIn,TimeQueue,0.0
100.0,CheckIn,TimeService,0.0
100.0,CheckIn,NumQueue,0.0
100.0,Varchi,TimeTotal,12.359890322294937
100.0,Varchi,NumTotal,1.0
100.0,Varchi,SystemResponseTime_Success,0.0
100.0,Varchi,BusyServers,1.0
100.0,Varchi,TimeQueue,0.21361260572255755
100.0,Varchi,TimeService,12.359890322294937
100.0,Varchi,NumQueue,0.0
100.0,Recupero,TimeTotal,0.0
100.0,Recupero,NumTotal,3.0
100.0,Recupero,SystemResponseTime_Success,0.0
100.0,Recupero,BusyServers,3.0
100.0,Recupero,TimeQueue,0.0
100.0,Recupero,TimeService,0.0
100.0,Recupero,NumQueue,0.0
200.0,XRay,TimeTotal,51.835839423357896
200.0,XRay,NumTotal,10.0
200.0,XRay,SystemResponseTime_Success,170.09816053811693
200.0,XRay,BusyServers,6.0
200.0,XRay,TimeQueue,3.735580407362109
200.0,XRay,TimeService,48.789952211497415
200.0,XRay,NumQueue,4.0
200.0,TraceDetection,TimeTotal,0.0
200.0,TraceDetection,NumTotal,1.0
200.0,TraceDetection,SystemResponseTime_Success,170.09816053811693
200.0,TraceDetection,BusyServers,1.0
200.0,TraceDetection,TimeQueue,0.0
200.0,TraceDetection,TimeService,0.0
200.0,TraceDetection,NumQueue,0.0
200.0,Recupero,TimeTotal,109.46827307288768
200.0,Recupero,NumTotal,8.0
200.0,Recupero,SystemResponseTime_Success,170.09816053811693
200.0,Recupero,BusyServers,8.0
200.0,Recupero,TimeQueue,0.0
200.0,Recupero,TimeService,109.46827307288768
200.0,Recupero,NumQueue,0.0
200.0,Varchi,TimeTotal,15.958325034687633
200.0,Varchi,NumTotal,0.0
200.0,Varchi,SystemResponseTime_Success,170.09816053811693
200.0,Varchi,BusyServers,0.0
200.0,Varchi,TimeQueue,2.6880174772534113
200.0,Varchi,TimeService,13.270307557434219
200.0,Varchi,NumQueue,0.0
200.0,CheckIn,TimeTotal,114.77138699181964
200.0,CheckIn,NumTotal,3.0
200.0,CheckIn,SystemResponseTime_Success,170.09816053811693
200.0,CheckIn,BusyServers,3.0
200.0,CheckIn,TimeQueue,0.0
200.0,CheckIn,TimeService,114.77138699181964
200.0,CheckIn,NumQueue,0.0
300.0,Recupero,TimeTotal,108.71840195191413
300.0,Recupero,NumTotal,14.0
300.0,Recupero,SystemResponseTime_Success,175.17022840690737
300.0,Recupero,BusyServers,14.0
300.0,Recupero,TimeQueue,0.0
300.0,Recupero,TimeService,108.71840195191413
300.0,Recupero,NumQueue,0.0
300.0,CheckIn,TimeTotal,103.00641040400983
300.0,CheckIn,NumTotal,7.0
300.0,CheckIn,SystemResponseTime_Success,175.17022840690737
300.0,CheckIn,BusyServers,7.0
300.0,CheckIn,TimeQueue,0.5966328464971014
300.0,CheckIn,TimeService,103.00641040400983
300.0,CheckIn,NumQueue,0.0
300.0,Varchi,TimeTotal,16.690741304015255
300.0,Varchi,NumTotal,3.0
300.0,Varchi,SystemResponseTime_Success,175.17022840690737
300.0,Varchi,BusyServers,2.0
300.0,Varchi,TimeQueue,2.979520099502968
300.0,Varchi,TimeService,13.890175553404129
300.0,Varchi,NumQueue,1.0
300.0,XRay,TimeTotal,59.44687405438534
300.0,XRay,NumTotal,8.0
300.0,XRay,SystemResponseTime_Success,175.17022840690737
300.0,XRay,BusyServers,6.0
300.0,XRay,TimeQueue,12.690297100056632
300.0,XRay,TimeService,49.317462457261776
300.0,XRay,NumQueue,2.0
300.0,TraceDetection,TimeTotal,64.01842386772083
300.0,TraceDetection,NumTotal,2.0
300.0,TraceDetection,SystemResponseTime_Success,175.17022840690737
300.0,TraceDetection,BusyServers,1.0
300.0,TraceDetection,TimeQueue,25.3638838533238
300.0,TraceDetection,TimeService,64.01842386772083
300.0,TraceDetection,NumQueue,1.0
400.0,CheckIn,TimeTotal,106.16270527747837
400.0,CheckIn,NumTotal,4.0
400.0,CheckIn,SystemResponseTime_Success,211.1638460347645
400.0,CheckIn,BusyServers,4.0
400.0,CheckIn,TimeQueue,0.5220537406849637
400.0,CheckIn,TimeService,106.16270527747837
400.0,CheckIn,NumQueue,0.0
400.0,Varchi,TimeTotal,17.293727270058096
400.0,Varchi,NumTotal,2.0
400.0,Varchi,SystemResponseTime_Success,211.1638460347645
400.0,Varchi,BusyServers,2.0
400.0,Varchi,TimeQueue,3.3217665647001575
400.0,Varchi,TimeService,13.827536072110098
400.0,Varchi,NumQueue,0.0
400.0,XRay,TimeTotal,64.3160180088848
400.0,XRay,NumTotal,9.0
400.0,XRay,SystemResponseTime_Success,211.1638460347645
400.0,XRay,BusyServers,6.0
400.0,XRay,TimeQueue,18.42173293002819
400.0,XRay,TimeService,49.130121554827426
400.0,XRay,NumQueue,3.0
400.0,TraceDetection,TimeTotal,101.25089883154004
400.0,TraceDetection,NumTotal,1.0
400.0,TraceDetection,SystemResponseTime_Success,211.1638460347645
400.0,TraceDetection,BusyServers,1.0
400.0,TraceDetection,TimeQueue,47.26350503623352
400.0,TraceDetection,TimeService,63.63585238501191
