Time,Center,Metric,Value
100.0,FastTrack,TimeTotal,0.0
100.0,FastTrack,NumTotal,1.0
100.0,FastTrack,SystemResponseTime_Success,0.0
100.0,FastTrack,BusyServers,1.0
100.0,FastTrack,TimeQueue,0.0
100.0,FastTrack,TimeService,0.0
100.0,FastTrack,NumQueue,0.0
100.0,XRay,TimeTotal,38.39478452758089
100.0,XRay,NumTotal,8.0
100.0,XRay,SystemResponseTime_Success,0.0
100.0,XRay,BusyServers,6.0
100.0,XRay,TimeQueue,2.7973789589105635
100.0,XRay,TimeService,38.39478452758089
100.0,XRay,NumQueue,2.0
100.0,Varchi,TimeTotal,17.10596693598478
100.0,Varchi,NumTotal,3.0
100.0,Varchi,SystemResponseTime_Success,0.0
100.0,Varchi,BusyServers,3.0
100.0,Varchi,TimeQueue,0.22903597773820042
100.0,Varchi,TimeService,16.814466600681616
100.0,Varchi,NumQueue,0.0
100.0,TraceDetection,TimeTotal,0.0
100.0,TraceDetection,NumTotal,0.0
100.0,TraceDetection,SystemResponseTime_Success,0.0
100.0,TraceDetection,BusyServers,0.0
100.0,TraceDetection,TimeQueue,0.0
100.0,TraceDetection,TimeService,0.0
100.0,TraceDetection,NumQueue,0.0
100.0,Recupero,TimeTotal,0.0
100.0,Recupero,NumTotal,2.0
100.0,Recupero,SystemResponseTime_Success,0.0
100.0,Recupero,BusyServers,2.0
100.0,Recupero,TimeQueue,0.0
100.0,Recupero,TimeService,0.0
100.0,Recupero,NumQueue,0.0
100.0,CheckIn,TimeTotal,69.71442706971791
100.0,CheckIn,NumTotal,4.0
100.0,CheckIn,SystemResponseTime_Success,0.0
100.0,CheckIn,BusyServers,4.0
100.0,CheckIn,TimeQueue,0.0
100.0,CheckIn,TimeService,69.71442706971791
100.0,CheckIn,NumQueue,0.0
200.0,CheckIn,TimeTotal,85.15545077664893
200.0,CheckIn,NumTotal,4.0
200.0,CheckIn,SystemResponseTime_Success,156.06227976937407
200.0,CheckIn,BusyServers,4.0
200.0,CheckIn,TimeQueue,0.0
200.0,CheckIn,TimeService,85.15545077664893
200.0,CheckIn,NumQueue,0.0
200.0,Varchi,TimeTotal,18.51027534234841
200.0,Varchi,NumTotal,3.0
200.0,Varchi,SystemResponseTime_Success,156.06227976937407
200.0,Varchi,BusyServers,3.0
200.0,Varchi,TimeQueue,0.14575016765158208
