Time,Center,Metric,Value
400.0,XRay,TimeTotal,58.42523134434726
400.0,XRay,NumTotal,17.0
400.0,XRay,SystemResponseTime_Success,203.8909945145722
400.0,XRay,BusyServers,6.0
400.0,XRay,TimeQueue,16.81100986761253
400.0,XRay,TimeService,50.175128672219614
400.0,XRay,NumQueue,11.0
400.0,CheckIn,TimeTotal,95.61826124370059
400.0,CheckIn,NumTotal,2.0
400.0,CheckIn,SystemResponseTime_Success,203.8909945145722
400.0,CheckIn,BusyServers,2.0
400.0,CheckIn,TimeQueue,0.0
400.0,CheckIn,TimeService,95.61826124370059
400.0,CheckIn,NumQueue,0.0
400.0,TraceDetection,TimeTotal,42.731488590615214
400.0,TraceDetection,NumTotal,0.0
400.0,TraceDetection,SystemResponseTime_Success,203.8909945145722
400.0,TraceDetection,BusyServers,0.0
400.0,TraceDetection,TimeQueue,0.0
400.0,TraceDetection,TimeService,42.731488590615214
400.0,TraceDetection,NumQueue,0.0
400.0,Varchi,TimeTotal,15.563316162555257
400.0,Varchi,NumTotal,1.0
400.0,Varchi,SystemResponseTime_Success,203.8909945145722
400.0,Varchi,BusyServers,1.0
400.0,Varchi,TimeQueue,1.3423329661723575
400.0,Varchi,TimeService,14.194136537059453
400.0,Varchi,NumQueue,0.0
400.0,Recupero,TimeTotal,112.8436607811363
400.0,Recupero,NumTotal,17.0
400.0,Recupero,SystemResponseTime_Success,203.8909945145722
400.0,Recupero,BusyServers,17.0
400.0,Recupero,TimeQueue,0.0
400.0,Recupero,TimeService,112.8436607811363
400.0,Recupero,NumQueue,0.0
800.0,Varchi,TimeTotal,14.189047940409129
800.0,Varchi,NumTotal,3.0
800.0,Varchi,SystemResponseTime_Success,264.46826635968665
800.0,Varchi,BusyServers,3.0
800.0,Varchi,TimeQueue,0.7348803251748871
800.0,Varchi,TimeService,13.430960868123456
800.0,Varchi,NumQueue,0.0
800.0,XRay,TimeTotal,107.23781855731578
800.0,XRay,NumTotal,18.0
800.0,XRay,SystemResponseTime_Success,264.46826635968665
800.0,XRay,BusyServers,6.0
800.0,XRay,TimeQueue,58.848752214532254
800.0,XRay,TimeService,51.97517696829619
800.0,XRay,NumQueue,12.0
800.0,TraceDetection,TimeTotal,71.52156682577173
800.0,TraceDetection,NumTotal,0.0
800.0,TraceDetection,SystemResponseTime_Success,264.46826635968665
