Time,Center,Metric,Value
400.0,FastTrack,TimeTotal,46.92816973259068
400.0,FastTrack,NumTotal,2.0
400.0,FastTrack,SystemResponseTime_Success,205.84524062004192
400.0,FastTrack,BusyServers,2.0
400.0,FastTrack,TimeQueue,4.174568815340119
400.0,FastTrack,TimeService,42.57379319884948
400.0,FastTrack,NumQueue,0.0
400.0,CheckIn,TimeTotal,116.33978895634874
400.0,CheckIn,NumTotal,7.0
400.0,CheckIn,SystemResponseTime_Success,205.84524062004192
400.0,CheckIn,BusyServers,7.0
400.0,CheckIn,TimeQueue,1.874269188355329
400.0,CheckIn,TimeService,114.06925803915556
400.0,CheckIn,NumQueue,0.0
400.0,XRay,TimeTotal,55.813945622600166
400.0,XRay,NumTotal,6.0
400.0,XRay,SystemResponseTime_Success,205.84524062004192
400.0,XRay,BusyServers,6.0
400.0,XRay,TimeQueue,2.1701614406463414
400.0,XRay,TimeService,53.53186784646659
400.0,XRay,NumQueue,0.0
400.0,Varchi,TimeTotal,21.79926045871735
400.0,Varchi,NumTotal,8.0
400.0,Varchi,SystemResponseTime_Success,205.84524062004192
400.0,Varchi,BusyServers,4.0
400.0,Varchi,TimeQueue,1.9420339983837958
400.0,Varchi,TimeService,20.60462327069521
400.0,Varchi,NumQueue,4.0
400.0,TraceDetection,TimeTotal,33.513521523628356
400.0,TraceDetection,NumTotal,0.0
400.0,TraceDetection,SystemResponseTime_Success,205.84524062004192
400.0,TraceDetection,BusyServers,0.0
400.0,TraceDetection,TimeQueue,0.0
400.0,TraceDetection,TimeService,33.513521523628356
400.0,TraceDetection,NumQueue,0.0
400.0,Recupero,TimeTotal,121.81586061800066
400.0,Recupero,NumTotal,23.0
400.0,Recupero,SystemResponseTime_Success,205.84524062004192
400.0,Recupero,BusyServers,23.0
400.0,Recupero,TimeQueue,0.0
400.0,Recupero,TimeService,121.81586061800066
400.0,Recupero,NumQueue,0.0
800.0,CheckIn,TimeTotal,126.70383593273945
800.0,CheckIn,NumTotal,4.0
800.0,CheckIn,SystemResponseTime_Success,237.3345935814395
800.0,CheckIn,BusyServers,4.0
800.0,CheckIn,TimeQueue,5.282162118427642
800.0,CheckIn,TimeService,121.0213860389461
800.0,CheckIn,NumQueue,0.0
800.0,Varchi,TimeTotal,21.597306509219905
800.0,Varchi,NumTotal,3.0
800.0,Varchi,SystemResponseTime_Success,237.3345935814395
800.0,Varchi,BusyServers,3.0
800.0,Varchi,TimeQueue,2.1181794833533076
800.0,Varchi,TimeService,19.520504954008143
800.0,Varchi,NumQueue,0.0
800.0,XRay,TimeTotal,57.60156224478405
800.0,XRay,NumTotal,9.0
800.0,XRay,SystemResponseTime_Success,237.3345935814395
800.0,XRay,BusyServers,6.0
800.0,XRay,TimeQueue,5.083188278486552
800.0,XRay,TimeService,53.58080574658739
800.0,XRay,NumQueue,3.0
800.0,FastTrack,TimeTotal,45.99937760676125
800.0,FastTrack,NumTotal,1.0
800.0,FastTrack,SystemResponseTime_Success,237.3345935814395
800.0,FastTrack,BusyServers,1.0
800.0,FastTrack,TimeQueue,4.214660688826157
800.0,FastTrack,TimeService,41.667643009912126
800.0,FastTrack,NumQueue,0.0
800.0,Recupero,TimeTotal,121.23607090379127
800.0,Recupero,NumTotal,15.0
800.0,Recupero,SystemResponseTime_Success,237.3345935814395
800.0,Recupero,BusyServers,15.0
800.0,Recupero,TimeQueue,0.0
800.0,Recupero,TimeService,121.23607090379127
800.0,Recupero,NumQueue,0.0
800.0,TraceDetection,TimeTotal,50.4794210491448
800.0,TraceDetection,NumTotal,0.0
