Time,Center,Metric,Value
400.0,XRay,TimeTotal,53.62093100114752
400.0,XRay,NumTotal,6.0
400.0,XRay,SystemResponseTime_Success,214.13514889969673
400.0,XRay,BusyServers,6.0
400.0,XRay,TimeQueue,4.997487590603448
400.0,XRay,TimeService,50.16501629419641
400.0,XRay,NumQueue,0.0
400.0,CheckIn,TimeTotal,113.41499392710371
400.0,CheckIn,NumTotal,6.0
400.0,CheckIn,SystemResponseTime_Success,214.13514889969673
400.0,CheckIn,BusyServers,6.0
400.0,CheckIn,TimeQueue,0.0
400.0,CheckIn,TimeService,113.41499392710371
400.0,CheckIn,NumQueue,0.0
400.0,FastTrack,TimeTotal,57.774779686796954
400.0,FastTrack,NumTotal,1.0
400.0,FastTrack,SystemResponseTime_Success,214.13514889969673
400.0,FastTrack,BusyServers,1.0
400.0,FastTrack,TimeQueue,6.88332136505349
400.0,FastTrack,TimeService,52.67656353870242
400.0,FastTrack,NumQueue,0.0
400.0,Varchi,TimeTotal,18.57089593634318
400.0,Varchi,NumTotal,2.0
400.0,Varchi,SystemResponseTime_Success,214.13514889969673
400.0,Varchi,BusyServers,2.0
400.0,Varchi,TimeQueue,0.08148805574378427
400.0,Varchi,TimeService,18.48488076639141
400.0,Varchi,NumQueue,0.0
400.0,TraceDetection,TimeTotal,38.89589703787408
400.0,TraceDetection,NumTotal,2.0
400.0,TraceDetection,SystemResponseTime_Success,214.13514889969673
400.0,TraceDetection,BusyServers,1.0
400.0,TraceDetection,TimeQueue,0.0
400.0,TraceDetection,TimeService,38.89589703787408
400.0,TraceDetection,NumQueue,1.0
400.0,Recupero,TimeTotal,115.53907968299075
400.0,Recupero,NumTotal,11.0
400.0,Recupero,SystemResponseTime_Success,214.13514889969673
400.0,Recupero,BusyServers,11.0
400.0,Recupero,TimeQueue,0.0
400.0,Recupero,TimeService,115.53907968299075
400.0,Recupero,NumQueue,0.0
800.0,CheckIn,TimeTotal,123.18707917562357
800.0,CheckIn,NumTotal,6.0
800.0,CheckIn,SystemResponseTime_Success,234.19473799153386
800.0,CheckIn,BusyServers,6.0
800.0,CheckIn,TimeQueue,0.0
800.0,CheckIn,TimeService,123.18707917562357
800.0,CheckIn,NumQueue,0.0
800.0,Varchi,TimeTotal,20.692557262061193
800.0,Varchi,NumTotal,0.0
800.0,Varchi,SystemResponseTime_Success,234.19473799153386
800.0,Varchi,BusyServers,0.0
800.0,Varchi,TimeQueue,2.2461105753709765
800.0,Varchi,TimeService,18.44644668669021
800.0,Varchi,NumQueue,0.0
800.0,XRay,TimeTotal,54.8271020989947
800.0,XRay,NumTotal,13.0
800.0,XRay,SystemResponseTime_Success,234.19473799153386
800.0,XRay,BusyServers,6.0
800.0,XRay,TimeQueue,5.707859021260433
800.0,XRay,TimeService,49.430192852814116
800.0,XRay,NumQueue,7.0
800.0,FastTrack,TimeTotal,70.31600909158614
800.0,FastTrack,NumTotal,0.0
800.0,FastTrack,SystemResponseTime_Success,234.19473799153386
800.0,FastTrack,BusyServers,0.0
800.0,FastTrack,TimeQueue,12.385752355967043
800.0,FastTrack,TimeService,57.930256735619096
800.0,FastTrack,NumQueue,0.0
800.0,TraceDetection,TimeTotal,61.30609505079522
800.0,TraceDetection,NumTotal,1.0
800.0,TraceDetection,SystemResponseTime_Success,234.19473799153386
800.0,TraceDetection,BusyServers,1.0
800.0,TraceDetection,TimeQueue,8.413369217218644
800.0,TraceDetection,TimeService,51.84105468142425
800.0,TraceDetection,NumQueue,0.0
800.0,Recupero,TimeTotal,118.29195267333166
800.0,Recupero,NumTotal,13.0
800.0,Recupero,SystemResponseTime_Success,234.19473799153386
800.0,Recupero,BusyServers,13.0
800.0,Recupero,TimeQueue,0.0
800.0,Recupero,TimeService,118.29195267333166
800.0,Recupero,NumQueue,0.0
1200.0,XRay,TimeTotal,61.67627113987021
1200.0,XRay,NumTotal,10.0
1200.0,XRay,SystemResponseTime_Success,244.70235505335017
1200.0,XRay,BusyServers,6.0
1200.0,XRay,TimeQueue,13.078509628388026
1200.0,XRay,TimeService,50.84749466392585
1200.0,XRay,NumQueue,4.0
1200.0,TraceDetection,TimeTotal,62.37642353768949
1200.0,TraceDetection,NumTotal,2.0
1200.0,TraceDetection,SystemResponseTime_Success,244.70235505335017
1200.0,TraceDetection,BusyServers,1.0
1200.0,TraceDetection,TimeQueue,11.682662343179558
1200.0,TraceDetection,TimeService,55.49275781451059
1200.0,TraceDetection,NumQueue,1.0
1200.0,Recupero,TimeTotal,120.09980114071601
1200.0,Recupero,NumTotal,16.0
1200.0,Recupero,SystemResponseTime_Success,244.70235505335017
1200.0,Recupero,BusyServers,16.0
1200.0,Recupero,TimeQueue,0.0
1200.0,Recupero,TimeService,120.09980114071601
1200.0,Recupero,NumQueue,0.0
1200.0,FastTrack,TimeTotal,79.53055312087498
1200.0,FastTrack,NumTotal,2.0
1200.0,FastTrack,SystemResponseTime_Success,244.70235505335017
1200.0,FastTrack,BusyServers,1.0
1200.0,FastTrack,TimeQueue,18.473756630045795
1200.0,FastTrack,TimeService,60.15944939272065
1200.0,FastTrack,NumQueue,1.0
1200.0,CheckIn,TimeTotal,120.59902510646411
1200.0,CheckIn,NumTotal,7.0
1200.0,CheckIn,SystemResponseTime_Success,244.70235505335017
1200.0,CheckIn,BusyServers,7.0
1200.0,CheckIn,TimeQueue,0.0
1200.0,CheckIn,TimeService,120.59902510646411
1200.0,CheckIn,NumQueue,0.0
1200.0,Varchi,TimeTotal,21.597510161474542
1200.0,Varchi,NumTotal,5.0
1200.0,Varchi,SystemResponseTime_Success,244.70235505335017
1200.0,Varchi,BusyServers,4.0
1200.0,Varchi,TimeQueue,2.546070676146576
1200.0,Varchi,TimeService,18.977640335294723
1200.0,Varchi,NumQueue,1.0
1600.0,Varchi,TimeTotal,21.38729515605402
1600.0,Varchi,NumTotal,2.0
1600.0,Varchi,SystemResponseTime_Success,256.92838341428956
1600.0,Varchi,BusyServers,2.0
1600.0,Varchi,TimeQueue,2.187390100032197
1600.0,Varchi,TimeService,19.176879897074105
1600.0,Varchi,NumQueue,0.0
1600.0,CheckIn,TimeTotal,122.15583517542741
1600.0,CheckIn,NumTotal,7.0
1600.0,CheckIn,SystemResponseTime_Success,256.92838341428956
1600.0,CheckIn,BusyServers,7.0
1600.0,CheckIn,TimeQueue,2.9246239894808155
1600.0,CheckIn,TimeService,121.43022475653405
1600.0,CheckIn,NumQueue,0.0
1600.0,XRay,TimeTotal,69.92978168107
1600.0,XRay,NumTotal,11.0
1600.0,XRay,SystemResponseTime_Success,256.92838341428956
1600.0,XRay,BusyServers,6.0
1600.0,XRay,TimeQueue,19.377450310574115
1600.0,XRay,TimeService,51.214294474161086
1600.0,XRay,NumQueue,5.0
1600.0,FastTrack,TimeTotal,74.93825788731523
1600.0,FastTrack,NumTotal,0.0
1600.0,FastTrack,SystemResponseTime_Success,256.92838341428956
1600.0,FastTrack,BusyServers,0.0
